DateTime,Accelerometer x,y,z,Temperature,Lux,Humidity,Proximity,Pressure,Altitude,Roll,Pitch 
2018-10-18 3:1:25.500,0.69,0.22,-9.98,21.64,17.00,43.62,0.82,102853.69,-137.59,178.75,-3.95
2018-10-18 3:1:26.000,0.83,0.30,-8.99,21.63,20.00,43.62,0.82,102850.14,-137.27,178.12,-5.29
2018-10-18 3:1:26.500,0.88,0.31,-8.72,21.63,17.00,43.63,0.82,102846.55,-136.95,178.00,-5.77
2018-10-18 3:1:27.000,0.64,0.13,-9.27,21.63,19.00,43.62,0.82,102835.53,-135.96,179.18,-3.96
2018-10-18 3:1:27.500,0.89,0.03,-9.97,21.63,20.00,43.62,0.82,102839.11,-136.28,179.85,-5.11
2018-10-18 3:1:28.000,0.41,0.11,-9.81,21.63,17.00,43.61,0.82,102841.04,-136.46,179.34,-2.40
2018-10-18 3:1:28.500,0.48,0.28,-9.56,21.63,17.00,43.62,0.82,102838.28,-136.21,178.35,-2.87
2018-10-18 3:1:29.000,0.19,-0.01,-9.46,21.62,19.00,43.60,0.82,102847.64,-137.05,-179.96,-1.16
2018-10-18 3:1:29.500,0.34,0.25,-9.41,21.62,19.00,43.62,0.82,102845.72,-136.88,178.50,-2.10
2018-10-18 3:1:30.000,0.79,0.01,-9.13,21.63,19.00,43.62,0.82,102838.28,-136.21,179.95,-4.92
2018-10-18 3:1:30.500,0.69,0.08,-9.89,21.62,17.00,43.61,0.82,102826.43,-135.14,179.57,-3.99
2018-10-18 3:1:31.000,0.89,0.23,-9.65,21.63,17.00,43.60,0.82,102825.34,-135.04,178.65,-5.28
2018-10-18 3:1:31.500,0.85,0.44,-9.45,21.63,20.00,43.60,0.82,102810.73,-133.73,177.34,-5.15
2018-10-18 3:1:32.000,1.38,0.22,-9.61,21.62,17.00,43.61,0.82,102804.38,-133.16,178.70,-8.17
2018-10-18 3:1:32.500,0.83,0.16,-8.93,21.63,17.00,43.60,0.82,102803.30,-133.06,178.97,-5.33
2018-10-18 3:1:33.000,0.28,-0.04,-9.28,21.63,19.00,43.60,0.82,102791.44,-131.99,-179.78,-1.71
2018-10-18 3:1:33.500,0.23,-0.35,-9.22,21.64,19.00,43.60,0.82,102793.08,-132.14,-177.81,-1.43
2018-10-18 3:1:34.000,0.15,-0.07,-9.23,21.63,19.00,43.61,0.82,102802.46,-132.98,-179.60,-0.95
2018-10-18 3:1:34.500,0.17,0.08,-8.78,21.62,17.00,43.59,0.82,102804.38,-133.16,179.51,-1.12
2018-10-18 3:1:35.000,0.59,0.19,-9.06,21.63,19.00,43.60,0.82,102813.48,-133.98,178.80,-3.75
2018-10-18 3:1:35.500,0.49,0.26,-8.74,21.62,19.00,43.59,0.82,102820.92,-134.64,178.32,-3.20
2018-10-18 3:1:36.000,0.85,0.10,-9.30,21.63,17.00,43.58,0.82,102830.85,-135.54,179.42,-5.24
2018-10-18 3:1:36.500,0.61,0.19,-9.21,21.63,17.00,43.59,0.82,102843.80,-136.70,178.82,-3.81
2018-10-18 3:1:37.000,0.44,-0.07,-9.34,21.63,19.00,43.59,0.82,102846.55,-136.95,-179.60,-2.70
2018-10-18 3:1:37.500,-0.04,0.11,-9.29,21.63,17.00,43.60,0.82,102857.57,-137.94,179.30,0.24
2018-10-18 3:1:38.000,-0.05,-0.03,-10.22,21.63,19.00,43.60,0.82,102872.19,-139.26,-179.85,0.27
2018-10-18 3:1:38.500,0.18,0.29,-9.99,21.62,17.00,43.59,0.82,102877.95,-139.78,178.37,-1.04
2018-10-18 3:1:39.000,0.40,0.31,-9.73,21.63,19.00,43.61,0.82,102874.94,-139.51,178.21,-2.37
2018-10-18 3:1:39.500,0.53,0.21,-9.54,21.62,17.00,43.59,0.82,102872.44,-139.28,178.75,-3.16
2018-10-18 3:1:40.000,0.57,0.10,-9.63,21.63,19.00,43.60,0.82,102863.91,-138.51,179.44,-3.36
2018-10-18 3:1:40.500,0.96,0.19,-10.09,21.63,17.00,43.60,0.82,102854.81,-137.69,178.93,-5.42
2018-10-18 3:1:41.000,0.86,-0.01,-9.58,21.63,17.00,43.61,0.82,102849.30,-137.20,-179.96,-5.14
2018-10-18 3:1:41.500,1.04,0.17,-9.85,21.63,19.00,43.61,0.82,102841.88,-136.53,179.01,-6.05
2018-10-18 3:1:42.000,1.47,0.10,-9.73,21.63,17.00,43.61,0.82,102817.07,-134.30,179.45,-8.56
2018-10-18 3:1:42.500,1.14,0.36,-9.56,21.62,17.00,43.60,0.82,102823.67,-134.89,177.83,-6.80
2018-10-18 3:1:43.000,0.69,0.43,-8.80,21.63,17.00,43.60,0.82,102805.22,-133.23,177.21,-4.47
2018-10-18 3:1:43.500,0.96,0.07,-9.00,21.63,19.00,43.60,0.82,102800.54,-132.81,179.59,-6.07
2018-10-18 3:1:44.000,0.59,-0.08,-9.13,21.63,20.00,43.59,0.82,102799.70,-132.73,-179.53,-3.72
2018-10-18 3:1:44.500,0.17,-0.11,-9.68,21.63,20.00,43.59,0.82,102806.05,-133.31,-179.39,-1.02
2018-10-18 3:1:45.000,-0.01,0.10,-9.89,21.63,17.00,43.59,0.82,102810.73,-133.73,179.46,0.06
2018-10-18 3:1:45.500,0.00,-0.11,-10.01,21.63,17.00,43.60,0.82,102824.50,-134.97,-179.36,0.00
2018-10-18 3:1:46.000,0.03,0.05,-9.46,21.63,19.00,43.59,0.82,102830.02,-135.46,179.72,-0.17
2018-10-18 3:1:46.500,0.12,0.17,-8.85,21.63,17.00,43.60,0.82,102835.53,-135.96,178.90,-0.81
2018-10-18 3:1:47.000,0.24,0.20,-8.45,21.62,17.00,43.59,0.82,102831.94,-135.64,178.65,-1.62
2018-10-18 3:1:47.500,0.71,0.24,-9.08,21.63,17.00,43.59,0.82,102817.07,-134.30,178.50,-4.46
2018-10-18 3:1:48.000,1.14,0.23,-9.60,21.63,19.00,43.59,0.82,102811.56,-133.80,178.64,-6.77
2018-10-18 3:1:48.500,0.95,0.20,-9.40,21.63,19.00,43.59,0.82,102810.73,-133.73,178.79,-5.76
2018-10-18 3:1:49.000,0.80,0.24,-8.90,21.62,17.00,43.60,0.82,102809.89,-133.65,178.47,-5.10
2018-10-18 3:1:49.500,0.03,-0.07,-9.37,21.63,19.00,43.60,0.82,102824.50,-134.97,-179.60,-0.18
2018-10-18 3:1:50.000,-0.31,-0.34,-9.01,21.63,19.00,43.59,0.82,102828.09,-135.29,-177.88,1.95
2018-10-18 3:1:50.500,-0.10,-0.06,-9.38,21.63,19.00,43.60,0.82,102832.77,-135.71,-179.66,0.59
2018-10-18 3:1:51.000,0.22,0.09,-9.71,21.63,20.00,43.61,0.82,102843.80,-136.70,179.50,-1.30
2018-10-18 3:1:51.500,0.76,0.18,-9.73,21.63,17.00,43.60,0.82,102849.30,-137.20,178.94,-4.45
2018-10-18 3:1:52.000,1.38,0.34,-9.61,21.62,17.00,43.60,0.82,102853.98,-137.62,178.01,-8.17
2018-10-18 3:1:52.500,1.53,0.40,-9.16,21.63,19.00,43.60,0.82,102857.57,-137.94,177.50,-9.49
2018-10-18 3:1:53.000,1.10,0.34,-8.99,21.63,17.00,43.60,0.82,102852.06,-137.45,177.88,-6.98
2018-10-18 3:1:53.500,0.68,0.09,-9.52,21.63,17.00,43.60,0.82,102854.81,-137.69,179.49,-4.09
2018-10-18 3:1:54.000,0.22,-0.12,-9.18,21.63,17.00,43.60,0.82,102852.89,-137.52,-179.24,-1.38
2018-10-18 3:1:54.500,-0.05,-0.06,-10.08,21.64,19.00,43.59,0.82,102853.69,-137.59,-179.69,0.27
2018-10-18 3:1:55.000,-0.27,-0.05,-9.57,21.63,17.00,43.60,0.82,102852.06,-137.45,-179.73,1.61
2018-10-18 3:1:55.500,0.07,0.01,-9.30,21.63,17.00,43.61,0.82,102852.06,-137.45,179.95,-0.41
2018-10-18 3:1:56.000,0.85,0.19,-9.22,21.63,17.00,43.60,0.82,102855.65,-137.77,178.82,-5.28
2018-10-18 3:1:56.500,1.11,0.13,-9.47,21.63,17.00,43.60,0.82,102843.80,-136.70,179.20,-6.69
2018-10-18 3:1:57.000,1.48,0.10,-10.50,21.62,19.00,43.62,0.82,102837.45,-136.13,179.49,-8.05
2018-10-18 3:1:57.500,1.39,0.12,-10.56,21.64,19.00,43.60,0.82,102829.73,-135.44,179.34,-7.50
2018-10-18 3:1:58.000,0.84,0.07,-9.78,21.63,17.00,43.61,0.82,102818.99,-134.47,179.62,-4.93
2018-10-18 3:1:58.500,0.09,0.14,-8.91,21.62,17.00,43.59,0.82,102820.09,-134.57,179.09,-0.55
2018-10-18 3:1:59.000,0.20,0.13,-8.28,21.63,20.00,43.60,0.82,102803.30,-133.06,179.08,-1.39
2018-10-18 3:1:59.500,0.50,0.17,-8.08,21.63,17.00,43.60,0.82,102802.46,-132.98,178.79,-3.53
2018-10-18 3:2:0.000,0.43,0.15,-8.84,21.63,17.00,43.60,0.82,102803.30,-133.06,179.02,-2.79
2018-10-18 3:2:0.500,0.80,0.10,-9.04,21.63,19.00,43.60,0.82,102795.03,-132.31,179.41,-5.09
2018-10-18 3:2:1.000,0.47,-0.04,-9.67,21.64,17.00,43.59,0.82,102798.58,-132.63,-179.79,-2.78
2018-10-18 3:2:1.500,0.39,0.20,-9.60,21.63,18.00,43.61,0.82,102808.80,-133.55,178.81,-2.34
2018-10-18 3:2:2.000,0.34,0.11,-9.88,21.63,17.00,43.60,0.82,102824.50,-134.97,179.40,-2.00
2018-10-18 3:2:2.500,0.21,0.11,-8.83,21.63,17.00,43.59,0.82,102828.09,-135.29,179.33,-1.37
2018-10-18 3:2:3.000,0.65,0.30,-9.35,21.62,17.00,43.60,0.82,102834.70,-135.88,178.19,-3.98
2018-10-18 3:2:3.500,1.02,0.17,-9.60,21.63,19.00,43.61,0.82,102835.53,-135.96,178.98,-6.04
2018-10-18 3:2:4.000,1.24,0.36,-9.73,21.63,17.00,43.62,0.82,102836.36,-136.03,177.87,-7.23
2018-10-18 3:2:4.500,1.22,0.34,-9.72,21.63,17.00,43.61,0.82,102832.77,-135.71,177.98,-7.13
2018-10-18 3:2:5.000,0.72,0.17,-8.86,21.62,17.00,43.61,0.82,102834.70,-135.88,178.90,-4.63
2018-10-18 3:2:5.500,0.20,-0.04,-8.66,21.63,17.00,43.60,0.82,102838.28,-136.21,-179.76,-1.33
2018-10-18 3:2:6.000,0.07,-0.24,-8.94,21.63,17.00,43.60,0.82,102838.28,-136.21,-178.48,-0.43
2018-10-18 3:2:6.500,-0.18,-0.07,-9.44,21.63,19.00,43.62,0.82,102852.89,-137.52,-179.61,1.11
2018-10-18 3:2:7.000,-0.17,-0.09,-10.26,21.63,19.00,43.64,0.82,102852.06,-137.45,-179.53,0.96
2018-10-18 3:2:7.500,-0.19,0.07,-10.33,21.62,17.00,43.62,0.82,102859.50,-138.12,179.64,1.06
2018-10-18 3:2:8.000,0.11,0.20,-10.16,21.63,17.00,43.61,0.82,102863.91,-138.51,178.88,-0.59
2018-10-18 3:2:8.500,0.47,0.22,-9.13,21.63,19.00,43.62,0.82,102860.33,-138.19,178.63,-2.94
2018-10-18 3:2:9.000,1.20,0.11,-9.20,21.63,19.00,43.61,0.82,102857.57,-137.94,179.30,-7.42
2018-10-18 3:2:9.500,1.35,0.31,-8.90,21.63,17.00,43.63,0.82,102841.04,-136.46,178.04,-8.63
2018-10-18 3:2:10.000,1.87,0.18,-8.65,21.63,17.00,43.62,0.82,102832.77,-135.71,178.81,-12.18
2018-10-18 3:2:10.500,1.99,0.40,-9.23,21.63,19.00,43.62,0.82,102814.31,-134.05,177.52,-12.17
2018-10-18 3:2:11.000,1.92,0.35,-9.48,21.62,17.00,43.62,0.82,102812.66,-133.90,177.87,-11.41
2018-10-18 3:2:11.500,1.26,0.31,-9.42,21.64,19.00,43.61,0.82,102817.88,-134.37,178.15,-7.64
2018-10-18 3:2:12.000,0.29,0.17,-8.97,21.63,17.00,43.62,0.82,102827.27,-135.22,178.91,-1.84
2018-10-18 3:2:12.500,-0.13,-0.01,-9.25,21.63,19.00,43.63,0.82,102835.53,-135.96,-179.95,0.83
2018-10-18 3:2:13.000,-0.62,-0.23,-9.75,21.62,19.00,43.61,0.82,102845.72,-136.88,-178.66,3.65
2018-10-18 3:2:13.500,-0.54,0.06,-9.49,21.63,19.00,43.61,0.82,102849.30,-137.20,179.67,3.23
2018-10-18 3:2:14.000,-0.12,-0.03,-10.03,21.63,17.00,43.61,0.82,102855.65,-137.77,-179.85,0.71
2018-10-18 3:2:14.500,0.51,-0.02,-9.67,21.62,17.00,43.62,0.82,102845.72,-136.88,-179.90,-3.00
2018-10-18 3:2:15.000,1.14,0.13,-9.84,21.63,17.00,43.62,0.82,102836.36,-136.03,179.23,-6.61
2018-10-18 3:2:15.500,1.72,0.27,-9.22,21.63,17.00,43.62,0.82,102825.34,-135.04,178.35,-10.58
2018-10-18 3:2:16.000,1.40,0.10,-8.95,21.62,17.00,43.62,0.82,102818.16,-134.40,179.40,-8.88
2018-10-18 3:2:16.500,1.12,0.20,-9.03,21.64,20.00,43.61,0.82,102804.09,-133.13,178.74,-7.07
2018-10-18 3:2:17.000,1.02,0.27,-9.24,21.63,20.00,43.62,0.82,102795.03,-132.31,178.35,-6.27
2018-10-18 3:2:17.500,0.52,0.00,-9.12,21.63,19.00,43.62,0.82,102800.54,-132.81,180.01,-3.25
2018-10-18 3:2:18.000,0.22,-0.10,-9.63,21.64,17.00,43.63,0.82,102801.34,-132.88,-179.44,-1.31
2018-10-18 3:2:18.500,0.27,0.04,-9.48,21.64,19.00,43.61,0.82,102815.12,-134.12,179.78,-1.62
2018-10-18 3:2:19.000,0.06,0.28,-9.45,21.63,19.00,43.62,0.82,102819.83,-134.55,178.33,-0.35
2018-10-18 3:2:19.500,0.33,0.05,-9.13,21.63,17.00,43.62,0.82,102825.34,-135.04,179.71,-2.04
2018-10-18 3:2:20.000,0.34,0.11,-8.96,21.64,17.00,43.63,0.82,102834.41,-135.86,179.28,-2.20
2018-10-18 3:2:20.500,0.49,0.36,-8.78,21.63,17.00,43.65,0.82,102832.77,-135.71,177.64,-3.18
2018-10-18 3:2:21.000,0.58,0.29,-8.96,21.63,17.00,43.62,0.82,102841.88,-136.53,178.18,-3.73
2018-10-18 3:2:21.500,1.21,0.21,-9.91,21.62,17.00,43.62,0.82,102842.96,-136.63,178.80,-6.94
2018-10-18 3:2:22.000,0.82,0.28,-9.90,21.62,17.00,43.64,0.82,102845.72,-136.88,178.41,-4.76
2018-10-18 3:2:22.500,0.49,0.24,-9.43,21.62,19.00,43.64,0.82,102845.72,-136.88,178.56,-2.97
2018-10-18 3:2:23.000,0.70,0.02,-9.26,21.63,17.00,43.64,0.82,102854.81,-137.69,179.89,-4.32
2018-10-18 3:2:23.500,0.47,0.00,-9.46,21.63,19.00,43.64,0.82,102852.89,-137.52,180.01,-2.84
2018-10-18 3:2:24.000,0.57,0.26,-9.21,21.63,17.00,43.64,0.82,102852.06,-137.45,178.40,-3.57
2018-10-18 3:2:24.500,0.17,0.05,-9.11,21.62,19.00,43.64,0.82,102848.47,-137.12,179.71,-1.08
2018-10-18 3:2:25.000,0.28,0.09,-9.65,21.62,19.00,43.64,0.82,102851.23,-137.37,179.50,-1.65
2018-10-18 3:2:25.500,0.66,0.09,-9.82,21.63,17.00,43.64,0.82,102850.14,-137.27,179.51,-3.85
2018-10-18 3:2:26.000,0.77,0.26,-9.69,21.63,17.00,43.63,0.82,102847.38,-137.03,178.48,-4.52
2018-10-18 3:2:26.500,0.70,0.26,-9.77,21.63,17.00,43.64,0.82,102844.63,-136.78,178.50,-4.09
2018-10-18 3:2:27.000,0.18,0.17,-9.43,21.63,19.00,43.64,0.82,102835.53,-135.96,178.97,-1.11
2018-10-18 3:2:27.500,0.44,-0.07,-9.18,21.63,19.00,43.66,0.82,102824.50,-134.97,-179.59,-2.75
2018-10-18 3:2:28.000,0.29,0.05,-8.99,21.62,19.00,43.63,0.82,102818.16,-134.40,179.71,-1.83
2018-10-18 3:2:28.500,0.34,0.06,-9.73,21.63,17.00,43.64,0.82,102813.48,-133.98,179.67,-1.97
2018-10-18 3:2:29.000,0.39,0.18,-9.34,21.62,17.00,43.65,0.82,102809.89,-133.65,178.90,-2.41
2018-10-18 3:2:29.500,0.89,0.08,-9.22,21.63,19.00,43.64,0.82,102807.97,-133.48,179.54,-5.52
2018-10-18 3:2:30.000,0.90,0.26,-9.27,21.63,19.00,43.65,0.82,102802.46,-132.98,178.42,-5.54
2018-10-18 3:2:30.500,0.85,0.12,-8.96,21.63,17.00,43.65,0.82,102802.46,-132.98,179.22,-5.44
2018-10-18 3:2:31.000,1.01,0.28,-9.33,21.63,20.00,43.64,0.82,102800.54,-132.81,178.31,-6.15
2018-10-18 3:2:31.500,0.70,0.20,-9.08,21.64,17.00,43.66,0.82,102804.09,-133.13,178.74,-4.40
2018-10-18 3:2:32.000,0.52,-0.12,-9.57,21.63,17.00,43.64,0.82,102805.22,-133.23,-179.27,-3.09
2018-10-18 3:2:32.500,0.25,0.05,-9.56,21.63,17.00,43.65,0.82,102808.80,-133.55,179.73,-1.49
2018-10-18 3:2:33.000,-0.07,0.02,-9.27,21.63,17.00,43.63,0.82,102824.50,-134.97,179.89,0.41
2018-10-18 3:2:33.500,-0.22,-0.02,-8.58,21.63,19.00,43.65,0.82,102830.02,-135.46,-179.89,1.47
2018-10-18 3:2:34.000,0.02,-0.11,-8.99,21.64,19.00,43.64,0.82,102839.92,-136.35,-179.28,-0.12
2018-10-18 3:2:34.500,0.43,0.45,-9.82,21.63,17.00,43.64,0.82,102846.55,-136.95,177.39,-2.51
2018-10-18 3:2:35.000,0.88,0.13,-9.89,21.63,17.00,43.64,0.82,102858.41,-138.02,179.24,-5.09
2018-10-18 3:2:35.500,0.84,0.27,-9.97,21.63,17.00,43.65,0.82,102863.91,-138.51,178.47,-4.83
2018-10-18 3:2:36.000,0.61,0.09,-9.47,21.63,19.00,43.66,0.82,102871.34,-139.18,179.49,-3.70
2018-10-18 3:2:36.500,0.48,0.36,-9.27,21.63,20.00,43.64,0.82,102860.33,-138.19,177.77,-2.95
2018-10-18 3:2:37.000,0.52,0.14,-9.46,21.63,17.00,43.65,0.82,102861.16,-138.27,179.14,-3.13
2018-10-18 3:2:37.500,0.82,0.18,-9.91,21.63,19.00,43.65,0.82,102854.81,-137.69,178.96,-4.75
2018-10-18 3:2:38.000,1.07,0.11,-9.64,21.63,19.00,43.66,0.82,102841.88,-136.53,179.33,-6.35
2018-10-18 3:2:38.500,1.04,0.37,-9.47,21.63,19.00,43.66,0.82,102830.85,-135.54,177.75,-6.28
2018-10-18 3:2:39.000,0.69,0.04,-8.95,21.63,17.00,43.66,0.82,102824.50,-134.97,179.77,-4.41
2018-10-18 3:2:39.500,0.57,0.22,-9.27,21.63,17.00,43.64,0.82,102803.30,-133.06,178.65,-3.55
2018-10-18 3:2:40.000,0.40,0.03,-8.84,21.63,17.00,43.65,0.82,102802.46,-132.98,179.83,-2.61
2018-10-18 3:2:40.500,0.42,0.24,-9.02,21.63,17.00,43.66,0.82,102799.70,-132.73,178.49,-2.67
2018-10-18 3:2:41.000,0.47,0.00,-9.51,21.63,17.00,43.66,0.82,102797.78,-132.56,180.01,-2.83
2018-10-18 3:2:41.500,0.54,0.08,-9.39,21.63,19.00,43.65,0.82,102803.30,-133.06,179.55,-3.27
2018-10-18 3:2:42.000,0.52,-0.09,-9.31,21.62,19.00,43.65,0.82,102812.66,-133.90,-179.48,-3.18
2018-10-18 3:2:42.500,0.90,0.21,-10.06,21.64,17.00,43.65,0.82,102823.38,-134.87,178.81,-5.11
2018-10-18 3:2:43.000,0.63,0.15,-10.81,21.64,17.00,43.66,0.82,102842.67,-136.60,179.20,-3.35
2018-10-18 3:2:43.500,0.47,0.43,-9.77,21.63,17.00,43.66,0.82,102843.80,-136.70,177.49,-2.75
2018-10-18 3:2:44.000,0.48,0.19,-9.17,21.64,17.00,43.67,0.82,102859.20,-138.09,178.82,-2.99
2018-10-18 3:2:44.500,-0.15,0.29,-8.75,21.64,19.00,43.68,0.82,102851.77,-137.42,178.13,1.00
2018-10-18 3:2:45.000,-0.24,0.11,-8.79,21.63,17.00,43.68,0.82,102849.30,-137.20,179.33,1.56
2018-10-18 3:2:45.500,0.08,-0.10,-9.71,21.63,19.00,43.66,0.82,102849.30,-137.20,-179.45,-0.45
2018-10-18 3:2:46.000,0.32,0.05,-10.08,21.62,19.00,43.67,0.82,102845.72,-136.88,179.74,-1.80
2018-10-18 3:2:46.500,0.48,0.01,-9.22,21.64,17.00,43.67,0.82,102848.18,-137.10,179.95,-2.98
2018-10-18 3:2:47.000,0.24,0.15,-8.74,21.63,17.00,43.67,0.82,102841.04,-136.46,179.01,-1.57
2018-10-18 3:2:47.500,-0.05,0.26,-8.88,21.63,19.00,43.66,0.82,102836.36,-136.03,178.34,0.31
2018-10-18 3:2:48.000,0.73,-0.03,-8.98,21.64,19.00,43.67,0.82,102828.89,-135.36,-179.83,-4.64
2018-10-18 3:2:48.500,1.09,0.30,-9.15,21.63,19.00,43.66,0.82,102818.99,-134.47,178.15,-6.80
2018-10-18 3:2:49.000,1.44,0.09,-9.10,21.63,17.00,43.66,0.82,102814.31,-134.05,179.47,-8.97
